2145,8,31
2100,8,40
2056,8,49
2056,8,56
2011,8,58
2011,9,02
1922,9,19
1922,9,24
1788,9,48
1743,9,57
1698,10,13
1609,10,30
1564,10,41
1475,11,06
1430,11,11
1385,11,18
1341,11,31
1251,11,49
1206,11,58
1162,12,10
1117,12,19
1072,12,28
